Title,Channel,View,Like,Dislike,Comment,Published,UploadYear,Category
The Gummy Bear Song - Long English Version,icanrockyourworld,2475627897,"62,07,057","22,43,944","3,11,856",09-10-2007,2007,Non-Musical
Numb [Official Music Video] - Linkin Park,Linkin Park,1620272015,"1,02,26,625","2,32,594","5,22,601",05-03-2007,2007,Musical
Osito Gominola - Full Spanish Version - The Gummy Bear Song,icanrockyourworld,1087284666,"31,08,119","14,30,448","68,778",16-10-2007,2007,Non-Musical
Queen – Bohemian Rhapsody (Official Video Remastered),Queen Official,1341482037,"92,43,884","2,92,024","5,92,640",01-08-2008,2008,Musical
Katy Perry - Hot N Cold (Official),KatyPerryVEVO,1040958219,"44,35,283","2,12,450","1,84,705",14-10-2008,2008,Musical
Crazy Frog - Axel F (Official Video),Crazy Frog,2843178049,"1,17,64,015","21,83,392","6,10,943",17-06-2009,2009,Musical
Guns N' Roses - November Rain,GunsNRosesVEVO,1651105624,"55,53,271","3,09,436","2,87,451",25-12-2009,2009,Musical
Lady Gaga - Bad Romance (Official Music Video),LadyGagaVEVO,1409449536,"64,57,312","4,66,034","8,61,679",24-11-2009,2009,Musical
Nirvana - Smells Like Teen Spirit (Official Music Video),NirvanaVEVO,1291529554,"87,94,701","2,33,948","4,43,970",16-06-2009,2009,Musical
Guns N' Roses - Sweet Child O' Mine (Official Music Video),GunsNRosesVEVO,1259477250,"56,85,870","2,27,380","2,05,455",25-12-2009,2009,Musical
In The End [Official HD Music Video] - Linkin Park,Linkin Park,1216642346,"79,99,120","1,94,876","3,71,429",26-10-2009,2009,Musical
Taylor Swift - You Belong With Me,TaylorSwiftVEVO,1203648696,"72,19,830","2,28,983","3,99,269",16-06-2009,2009,Musical
50 Cent - In Da Club (Official Music Video),50CentVEVO,1180464279,"63,61,247","2,39,504","2,29,195",16-06-2009,2009,Musical
Beyoncé - Halo,BeyoncéVEVO,1170122923,"57,80,491","1,88,590","1,87,253",03-10-2009,2009,Musical
Eminem - Without Me (Official Music Video),EminemVEVO,1161947420,"75,30,138","2,24,271","2,95,422",16-06-2009,2009,Musical
The Cranberries - Zombie (Official Music Video),TheCranberriesVEVO,1115110063,"56,99,095","2,23,128","2,85,602",16-06-2009,2009,Musical
System Of A Down - Chop Suey! (Official Video),systemofadownVEVO,1071511222,"58,61,730","2,52,667","3,17,378",03-10-2009,2009,Musical
Michael Jackson - Billie Jean (Official Video),michaeljacksonVEVO,1006349546,"66,70,950","2,01,893","4,45,661",03-10-2009,2009,Musical
Bon Jovi - It's My Life (Official Music Video),Bon Jovi,1006067409,"49,00,000","1,65,000",153000,17-06-2009,2009,Musical
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,NellyVEVO,1001715373,5200000,195000,140000,06-10-2009,2009,Musical
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),shakiraVEVO,2852681316,"1,43,01,269","8,12,165","11,30,950",04-06-2010,2010,Musical
Justin Bieber - Baby (Official Music Video) ft. Ludacris,JustinBieberVEVO,2513015405,"1,81,10,484","1,22,36,502","47,52,270",19-02-2010,2010,Musical
Eminem - Love The Way You Lie ft. Rihanna,EminemVEVO,2239991667,"1,07,43,773","3,67,570","5,79,905",05-08-2010,2010,Musical
Adele - Rolling in the Deep (Official Music Video),AdeleVEVO,1837135437,"83,95,998","2,78,595","3,70,158",30-11-2010,2010,Musical
Twinkle Twinkle Little Star,Super Simple Songs - Kids Songs,1694673364,"32,23,818","18,65,340","22,705",05-09-2010,2010,Non-Musical
Bruno Mars - Just The Way You Are (Official Music Video),Bruno Mars,1626185896,"64,45,833","2,27,496","2,32,273",08-09-2010,2010,Musical
Eminem - Not Afraid (Official Video),EminemVEVO,1539790566,"98,10,903","2,57,254","8,43,570",05-06-2010,2010,Musical
Katy Perry - Firework (Official Music Video),KatyPerryVEVO,1315336516,"53,78,855","2,50,522","4,36,041",28-10-2010,2010,Musical
a-ha - Take On Me (Official Video) [Remastered in 4K],a-ha,1292646195,"70,04,163","2,07,529","2,83,807",06-01-2010,2010,Musical
Don Omar - Danza Kuduro ft. Lucenzo,DonOmarVEVO,1199206396,"40,47,163","1,97,420","2,16,883",11-08-2010,2010,Musical
Whitney Houston - I Will Always Love You (Official 4K Video),whitneyhoustonVEVO,1117264393,"64,91,688","2,32,658","2,64,359",28-09-2010,2010,Musical
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",Mountain Apple Company Inc,1089825452,"74,90,152","2,84,759","3,62,877",12-04-2010,2010,Musical
Bruno Mars - Grenade (Official Music Video),Bruno Mars,1025584443,"45,86,343","1,27,102","2,91,890",22-11-2010,2010,Musical
Justin Bieber - Never Say Never (Official Music Video) ft. Jaden Smith,JustinBieberVEVO,1017644821,"61,52,564","7,06,492","4,75,358",27-05-2010,2010,Musical
Bruno Mars - The Lazy Song (Official Music Video),Bruno Mars,2148545217,"1,10,96,723","5,98,590","5,00,836",15-04-2011,2011,Musical
"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)",LMFAOVEVO,2036987743,"94,78,492","4,64,027","6,35,389",09-03-2011,2011,Musical
Christina Perri - A Thousand Years [Official Music Video],Christina Perri,1870042459,"1,14,05,843","2,80,225","4,46,621",26-10-2011,2011,Musical
"हनुमान चालीसा Hanuman Chalisa I GULSHAN KUMAR I HARIHARAN, Full HD Video I Shree Hanuman Chalisa",T-Series Bhakti Sagar,1792238397,"66,91,586","10,27,924","6,72,352",10-05-2011,2011,Non-Musical
Jennifer Lopez - On The Floor ft. Pitbull,JenniferLopezVEVO,1747594391,"65,29,164","3,33,576","4,06,290",04-03-2011,2011,Musical
Adele - Someone Like You (Official Music Video),AdeleVEVO,1716431592,"80,91,706","2,69,483","3,21,442",29-09-2011,2011,Musical
Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],gotyemusic,1708554092,"1,10,97,244","4,52,042","7,21,652",05-07-2011,2011,Musical
David Guetta - Titanium ft. Sia (Official Video),David Guetta,1468167451,"71,50,641","2,12,747","2,84,876",21-12-2011,2011,Musical
Coldplay - Paradise (Official Video),Coldplay,1458445732,"69,53,546","1,91,874","3,29,233",19-10-2011,2011,Musical
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),KatyPerryVEVO,1347972076,"58,16,490","4,01,241","4,19,028",12-06-2011,2011,Musical
Pollito Amarillito ORIGINAL - Gallina Pintadita 1 - Oficial - Canciones infantiles,Gallina Pintadita,1324147028,"23,86,689","14,78,087","26,998",10-08-2011,2011,Non-Musical
One Direction - What Makes You Beautiful (Official Video),OneDirectionVEVO,1273048532,"93,05,043","4,78,814","11,38,096",19-08-2011,2011,Musical
Mariposita ORIGINAL - Gallina Pintadita 2 - Oficial - Canciones infantiles para niños y bebés,Gallina Pintadita,1220555512,"28,70,871","16,79,961","11,570",18-08-2011,2011,Non-Musical
3yo William Diving down to get his 'Toypedo' torpedo,STWill2011,1153336493,"18,08,440","9,61,637",NULL,09-04-2011,2011,Non-Musical
Pitbull - Rain Over Me ft. Marc Anthony,PitbullVEVO,1098433891,"36,18,462","1,56,783","1,70,301",22-07-2011,2011,Musical
4 Non Blondes - What's Up (Official Music Video),4NonBlondesVEVO,1087933460,"46,93,354","2,32,269","1,55,998",23-02-2011,2011,Musical
Michel Teló - Ai Se Eu Te Pego - Video Oficial (Assim você me mata),Michel Teló,1004053063,3900000,222000,335000,25-07-2011,2011,Musical
Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия),Get Movies,4440617686,"75,98,426","41,93,900","11,444",31-01-2012,2012,Non-Musical
PSY - GANGNAM STYLE(강남스타일) M/V,officialpsy,4094903877,"2,19,13,239","27,72,924","52,51,038",15-07-2012,2012,Musical
Passenger | Let Her Go (Official Video),Passenger,3009749991,"1,28,16,175","3,79,334","4,09,151",25-07-2012,2012,Musical
Rihanna - Diamonds,RihannaVEVO,1748542401,"83,01,920","3,56,752","3,70,872",09-11-2012,2012,Musical
"Sesame Street: Healthy Teeth, Healthy Me: Brushy Brush PSA",Sesame Street,1626622370,"41,62,035","28,97,763","13,105",01-03-2012,2012,Non-Musical
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),Macklemore LLC,1577830837,"1,02,20,362","3,54,261","5,05,866",29-08-2012,2012,Musical
PULCINO PIO - El Pollito Pio (Official video),PULCINO PIO,1418409405,"35,26,114","11,87,705","1,31,320",29-11-2012,2012,Musical
Маша и Медведь (Masha and The Bear) - Приятного аппетита (24 Серия),Get Movies,1412598847,"19,94,240","10,81,798","1,163",21-09-2012,2012,Non-Musical
Carly Rae Jepsen - Call Me Maybe,CarlyRaeJepsenVEVO,1361737127,"70,72,488","3,47,000","6,14,880",01-03-2012,2012,Musical
Imagine Dragons - Radioactive,ImagineDragonsVEVO,1290363181,"82,08,174","2,42,447","3,35,427",10-12-2012,2012,Musical
Dona Aranha - Galinha Pintadinha 3 - OFICIAL,Galinha Pintadinha,1259466173,"32,55,336","20,23,728","10,843",18-07-2012,2012,Non-Musical
Маша и Медведь (Masha and The Bear) - Большая стирка (18 Серия),Get Movies,1254965545,"17,68,195","10,06,849",765,31-01-2012,2012,Non-Musical
Daddy Yankee - Limbo (Video Oficial),DaddyYankeeVEVO,1114662294,"37,56,790","2,04,625","1,41,856",27-10-2012,2012,Musical
Katy Perry - Roar (Official),KatyPerryVEVO,3370773515,"1,35,06,741","9,87,354","7,39,410",05-09-2013,2013,Musical
OneRepublic - Counting Stars (Official Music Video),OneRepublicVEVO,3321795266,"1,37,85,991","4,29,537","4,42,562",31-05-2013,2013,Musical
Old MacDonald Had a Farm - Kids nursery rhymes,Bounce Patrol - Kids Songs,2368765688,"70,54,247","53,55,205","10,243",12-11-2013,2013,Non-Musical
Avicii - Wake Me Up (Official Video),AviciiOfficialVEVO,2071921246,"1,01,49,735","2,98,131","6,14,660",29-07-2013,2013,Musical
MAGIC! - Rude (Official Video),ournameismagicVEVO,2065787665,"91,39,865","3,21,881","2,32,985",06-12-2013,2013,Musical
John Legend - All of Me (Official Video),johnlegendVEVO,1944888072,"1,05,92,284","3,20,880","2,30,627",02-10-2013,2013,Musical
Romeo Santos - Propuesta Indecente (Official Video),RomeoSantosVEVO,1760124756,"41,54,631","3,00,998","1,23,066",09-09-2013,2013,Musical
Martin Garrix - Animals (Official Video),Spinnin' Records,1500890178,"99,62,597","3,33,926","3,25,820",17-06-2013,2013,Musical
Ellie Goulding - Burn (Official Video),EllieGouldingVEVO,1457975578,"53,84,704","1,83,264","1,80,768",07-07-2013,2013,Musical
PSY - GENTLEMAN M/V,officialpsy,1409779244,"69,25,580","9,29,854","9,75,199",13-04-2013,2013,Musical
Pitbull - Timber ft. Ke$ha,PitbullVEVO,1301446049,"48,65,457","2,51,351","1,51,478",25-11-2013,2013,Musical
P!nk - Just Give Me A Reason ft. Nate Ruess,PinkVEVO,1295816621,"53,71,022","1,98,610","1,55,561",05-02-2013,2013,Musical
Prince Royce - Darte un Beso,PrinceRoyceVEVO,1238906945,"38,28,746","2,06,380","1,48,064",20-08-2013,2013,Musical
Eminem - Rap God (Explicit),EminemVEVO,1233323340,"1,62,60,864","4,82,519","11,74,209",27-11-2013,2013,Musical
Finger Family Collection - 7 Finger Family Songs - Daddy Finger Nursery Rhymes,Videogyan Nursery Rhymes - Kids Songs & Cartoons,1222652966,NULL,NULL,"37,956",30-10-2013,2013,Non-Musical
Arctic Monkeys - Do I Wanna Know? (Official Video),Official Arctic Monkeys,1182638281,"67,74,709","1,85,814","1,45,091",19-06-2013,2013,Musical
Miley Cyrus - Wrecking Ball (Official Video),MileyCyrusVEVO,1121234378,"62,68,172","16,12,520","10,96,246",09-09-2013,2013,Musical
Pharrell Williams - Happy (Official Music Video),iamOTHER,1099169359,"47,72,096","2,53,027","1,61,538",22-11-2013,2013,Musical
Naughty Boy - La la la ft. Sam Smith (Official Video),NaughtyBoyVEVO,1093694457,"61,48,953","3,55,753","3,25,561",18-04-2013,2013,Musical
"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",David Guetta,1056060303,"33,56,483","1,75,005","1,17,460",22-04-2013,2013,Musical
Bruno Mars - When I Was Your Man (Official Music Video),Bruno Mars,1035761619,"53,48,116","1,37,662","1,80,141",05-02-2013,2013,Musical
Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],discovery plus Norge,1014334052,"78,08,334","7,93,753","9,84,262",03-09-2013,2013,Musical
Marc Anthony - Vivir Mi Vida (Official Video),marcanthonyVEVO,1014281677,"25,69,083","1,96,041","79,570",10-09-2013,2013,Musical
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,MarkRonsonVEVO,4206255682,"1,67,75,020","9,54,056","5,69,149",19-11-2014,2014,Musical
Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,ChuChu TV Nursery Rhymes & Kids Songs,3937470290,NULL,NULL,425,06-03-2014,2014,Non-Musical
Ed Sheeran - Thinking Out Loud (Official Music Video),Ed Sheeran,3274015668,"1,27,70,847","5,40,644","3,45,427",07-10-2014,2014,Musical
Katy Perry - Dark Horse (Official) ft. Juicy J,KatyPerryVEVO,3088777637,"1,34,24,850","12,98,314","7,65,331",20-02-2014,2014,Musical
Taylor Swift - Shake It Off,TaylorSwiftVEVO,3067472589,"1,06,58,441","10,29,943","5,58,655",18-08-2014,2014,Musical
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)",EnriqueIglesiasVEVO,3048131197,"83,73,535","5,47,287","2,51,831",11-04-2014,2014,Musical
Taylor Swift - Blank Space,TaylorSwiftVEVO,2802067565,"1,18,67,930","7,21,243","6,08,279",10-11-2014,2014,Musical
FROZEN | Let It Go Sing-along | Official Disney UK,Disney UK,2503181557,"64,06,546","15,61,979","1,88,458",30-01-2014,2014,Non-Musical
Meghan Trainor - All About That Bass,MeghanTrainorVEVO,2456312798,"85,50,116","8,76,797","4,89,072",11-06-2014,2014,Musical
Wheels On The Bus | Nursery Rhymes for Babies | Learn with Little Baby Bum | ABCs and 123s,Little Baby Bum - Nursery Rhymes & Kids Songs,2398738218,NULL,NULL,"2,938",09-08-2014,2014,Non-Musical
Sia - Chandelier (Official Video),SiaVEVO,2396665192,"1,09,78,292","5,98,119","5,63,022",06-05-2014,2014,Musical
I WANT SUMO | Doritos Commercial,bbosley,1837425366,"32,34,090","15,74,869","41,101",07-11-2014,2014,Non-Musical
Johny Johny Yes Papa and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV,ChuChu TV Nursery Rhymes & Kids Songs,1826153385,NULL,NULL,NULL,14-11-2014,2014,Non-Musical
J. Balvin - Ay Vamos (Official Video),jbalvinVEVO,1783081834,"46,89,125","2,97,757","1,27,566",29-08-2014,2014,Musical
"Jessie J, Ariana Grande, Nicki Minaj - Bang Bang (Official Video)",JessieJVEVO,1686151582,"90,82,393","4,15,721","2,67,388",26-08-2014,2014,Musical
ChuChu TV Numbers Song - NEW Short Version - Number Rhymes For Children,ChuChu TV Nursery Rhymes & Kids Songs,1513765426,NULL,NULL,552,21-08-2014,2014,Non-Musical
Calvin Harris - Summer (Official Video),CalvinHarrisVEVO,1472680452,"51,67,097","1,98,847","1,20,640",06-04-2014,2014,Musical
El Gallo y la Pata - Canciones de la Granja de Zenón 2,El Reino Infantil,1394456233,"32,31,626","20,53,507","6,378",15-03-2014,2014,Musical
Sam Smith - I'm Not The Only One (Official Video),SamSmithVEVO,1368425597,"53,25,630","1,85,722","1,30,648",01-08-2014,2014,Non-Musical
Ariana Grande ft. Iggy Azalea - Problem (Official Video),ArianaGrandeVevo,1291515332,"62,29,034","3,28,857","2,86,072",30-05-2014,2014,Musical
AronChupa - I'm an Albatraoz | OFFICIAL VIDEO,AronChupaVEVO,1251839654,"93,43,031","3,27,264","2,64,981",13-10-2014,2014,Musical
La Vaca Lola - Canciones de La Granja de Zenón 2,El Reino Infantil,1236278565,"31,34,964","18,11,322","23,735",12-04-2014,2014,Musical
Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,shakiraVEVO,1174048830,"55,61,137","3,32,926","2,64,651",22-05-2014,2014,Musical
Mascha und der Bär - Folge 2: Das Mascha Speziale,EUROPA Kinderprogramm,1172874072,"20,77,626","13,44,680",NULL,15-07-2014,2014,Non-Musical
ABC SONG | ABC Songs for Children - 13 Alphabet Songs & 26 Videos,Cocomelon - Nursery Rhymes,1136319384,"15,78,965","8,91,607","13,655",01-05-2014,2014,Non-Musical
Shakira - Can't Remember to Forget You (Official Video) ft. Rihanna,shakiraVEVO,1128794574,"52,42,618","3,34,103","2,52,198",31-01-2014,2014,Musical
Rahat Fateh Ali Khan - Zaroori Tha,RahatFAKhanVEVO,1110384055,"53,16,411","5,51,555","2,81,041",09-06-2014,2014,Musical
Ariana Grande - Break Free ft. Zedd,ArianaGrandeVevo,1102350314,"54,81,016","3,40,149","3,18,319",13-08-2014,2014,Musical
J Balvin - 6 AM ft. Farruko (Official Video),jbalvinVEVO,1099594447,"23,66,185","1,38,624","61,484",04-04-2014,2014,Musical
Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís,EnriqueIglesiasVEVO,1089941266,"32,83,328","1,87,010","91,882",20-01-2014,2014,Musical
Sam Smith - Stay With Me (Official Video),SamSmithVEVO,1088297303,"48,39,445","1,62,177","1,24,287",28-03-2014,2014,Musical
